news_headline,news_article,news_category,full_text,clean_text
What changes have RCB made to their squad ahead of IPL 2021 resumption?,"Ahead of the resumption of IPL 2021, Royal Challengers Bangalore (RCB) announced changes to the squad. Sri Lankan leg-spinner Wanindu Hasaranga replaced Australia’s Adam Zampa, while Tim David from Australia has come in as a replacement for New Zealand’s Finn Allen and Sri Lanka’s Dushmantha Chameera replaced Daniel Sams of Australia. Scott Kuggeleijn and Kane Richardson will also miss out.",sports,"What changes have RCB made to their squad ahead of IPL 2021 resumption?. Ahead of the resumption of IPL 2021, Royal Challengers Bangalore (RCB) announced changes to the squad. Sri Lankan leg-spinner Wanindu Hasaranga replaced Australia’s Adam Zampa, while Tim David from Australia has come in as a replacement for New Zealand’s Finn Allen and Sri Lanka’s Dushmantha Chameera replaced Daniel Sams of Australia. Scott Kuggeleijn and Kane Richardson will also miss out.",change rcb make squad ahead ipl resumption ahead resumption ipl royal challenger bangalore rcb announce change squad sri lankan leg spinner wanindu hasaranga replace australias adam zampa tim david australia come replacement new zealands finn allen sri lankas dushmantha chameera replace daniel sams australia scott kuggeleijn kane richardson also miss
Giant cut-out of Siraj depicting his 'finger on lips' celebration erected in Hyd,"Giant garlanded cut-out of pacer Mohammed Siraj depicting his 'finger on the lips' celebration has been erected in Hyderabad.This comes after Siraj picked a four-wicket haul in each innings at Lord's Test against England, in which the Team India won by 151 runs to take a 1-0 lead in the five-Test series.",sports,"Giant cut-out of Siraj depicting his 'finger on lips' celebration erected in Hyd. Giant garlanded cut-out of pacer Mohammed Siraj depicting his 'finger on the lips' celebration has been erected in Hyderabad.This comes after Siraj picked a four-wicket haul in each innings at Lord's Test against England, in which the Team India won by 151 runs to take a 1-0 lead in the five-Test series.",giant cut siraj depict finger lip celebration erect hyd giant garlanded cut pacer mohammed siraj depict finger lip celebration erect hyderabad come siraj pick four wicket haul innings lord test england team india win run take lead five test series
"Pak fan's viral angry reaction meme features in English vocabulary book, pic surfaces",The viral angry reaction meme of Pakistani cricket fan Sarim Akhtar has featured in an English vocabulary book. The meme is used in the book in the graphical explanation section for the word 'Glared'. Sarim had gone viral for staring angrily at cricketer Asif Ali after a dropped catch during 2019 World Cup.,sports,"Pak fan's viral angry reaction meme features in English vocabulary book, pic surfaces. The viral angry reaction meme of Pakistani cricket fan Sarim Akhtar has featured in an English vocabulary book. The meme is used in the book in the graphical explanation section for the word 'Glared'. Sarim had gone viral for staring angrily at cricketer Asif Ali after a dropped catch during 2019 World Cup.",pak fan viral angry reaction meme feature english vocabulary book pic surface viral angry reaction meme pakistani cricket fan sarim akhtar feature english vocabulary book meme use book graphical explanation section word glare sarim go viral stare angrily cricketer asif ali drop catch world cup
Referee pulls gun on red-carded footballer in US and shoots at fans; video surfaces,A video surfaced online showing a referee pulling gun on a red-carded footballer in US before shooting in the direction of fans. The referee had an argument with the players after he sent a player off after which he went towards his car and returned to the field with a gun. The referee was arrested while he was driving off. ,sports,Referee pulls gun on red-carded footballer in US and shoots at fans; video surfaces. A video surfaced online showing a referee pulling gun on a red-carded footballer in US before shooting in the direction of fans. The referee had an argument with the players after he sent a player off after which he went towards his car and returned to the field with a gun. The referee was arrested while he was driving off. ,referee pull gun red card footballer shoot fan video surface video surface online show referee pull gun red card footballer shoot direction fan referee argument player send player go towards car return field gun referee arrest drive
Kohli told me in 2015 he wants India to be the greatest team on the planet: Donald,"Ex-South Africa pacer Allan Donald revealed that Virat Kohli told him in 2015 that India will become the world number one Test team. Donald added, ""And he wasn't wrong."" Donald further said, ""Kohli said, 'I want this to be the fittest team and the greatest team on the planet, knowing...we can play away from home, knowing we can beat anyone'.""",sports,"Kohli told me in 2015 he wants India to be the greatest team on the planet: Donald. Ex-South Africa pacer Allan Donald revealed that Virat Kohli told him in 2015 that India will become the world number one Test team. Donald added, ""And he wasn't wrong."" Donald further said, ""Kohli said, 'I want this to be the fittest team and the greatest team on the planet, knowing...we can play away from home, knowing we can beat anyone'.""",kohli tell I want india great team planet donald ex south africa pacer allan donald reveal virat kohli tell india become world number one test team donald add nt wrong donald far say kohli say I want fit team great team planet know play away home know beat anyone
Whole world would've been up in arms if BCCI scheduled IPL between a Test series: Aakash,"After England cricketers Moeen Ali and Craig Overton were released from squad to play in The Hundred, cricketer-turned-commentator Aakash Chopra criticised the scheduling of the tournament between the Test series. He added, ""Imagine BCCI creating a window for...IPL to be held between a Test series. Whole world would’ve been up in arms about how commercial Indian cricket has become.""",sports,"Whole world would've been up in arms if BCCI scheduled IPL between a Test series: Aakash. After England cricketers Moeen Ali and Craig Overton were released from squad to play in The Hundred, cricketer-turned-commentator Aakash Chopra criticised the scheduling of the tournament between the Test series. He added, ""Imagine BCCI creating a window for...IPL to be held between a Test series. Whole world would’ve been up in arms about how commercial Indian cricket has become.""",whole world would arm bcci schedule ipl test series aakash england cricketer moeen ali craig overton release squad play hundred cricketer turn commentator aakash chopra criticise scheduling tournament test series add imagine bcci create window ipl hold test series whole world would arm commercial indian cricket become
"Buttler, wife Louise expecting their second child; wicketkeeper to miss IPL 2021 in UAE","England and Rajasthan Royals wicketkeeper-batsman Jos Buttler and his wife Louise are expecting their second child. Buttler will not take part in the IPL 2021 when it resumes in UAE next month. ""We wish them well, and can't wait for the newest member of the #RoyalsFamily,"" Rajasthan Royals tweeted. Rajasthan Royals have replaced Buttler with New Zealand's Glenn Phillips.",sports,"Buttler, wife Louise expecting their second child; wicketkeeper to miss IPL 2021 in UAE. England and Rajasthan Royals wicketkeeper-batsman Jos Buttler and his wife Louise are expecting their second child. Buttler will not take part in the IPL 2021 when it resumes in UAE next month. ""We wish them well, and can't wait for the newest member of the #RoyalsFamily,"" Rajasthan Royals tweeted. Rajasthan Royals have replaced Buttler with New Zealand's Glenn Phillips.",buttler wife louise expect second child wicketkeeper miss ipl uae england rajasthan royal wicketkeeper batsman jos buttler wife louise expect second child buttler not take part ipl resume uae next month wish well ca nt wait new member royalsfamily rajasthan royal tweet rajasthan royal replace buttler new zealand glenn phillips
It was mental torture for me to see myself sitting out and xyz playing matches: Unmukt,"India's 2012 Under-19 World Cup-winning captain Unmukt Chand, who retired from Indian cricket recently and shifted to US, said the last couple of years were ""a bit tough"" on him. He revealed he didn't get a single game for Delhi last year. ""It was a mental torture for me to see myself sitting out and xyz playing matches,"" he added.",sports,"It was mental torture for me to see myself sitting out and xyz playing matches: Unmukt. India's 2012 Under-19 World Cup-winning captain Unmukt Chand, who retired from Indian cricket recently and shifted to US, said the last couple of years were ""a bit tough"" on him. He revealed he didn't get a single game for Delhi last year. ""It was a mental torture for me to see myself sitting out and xyz playing matches,"" he added.",mental torture I see sit xyz playing match unmukt india world cup win captain unmukt chand retire indian cricket recently shift say last couple year bit tough reveal nt get single game delhi last year mental torture I see sit xyz playing match add
Which prominent players will miss the UAE leg of IPL 2021?,"KKR pacer Pat Cummins pulled out of UAE leg of IPL 2021 due to personal reasons, while RR wicketkeeper-batsman Jos Buttler won't feature in the tournament as he's expecting his second child with wife Louise. RCB's Daniel Sams, Finn Allen, Adam Zampa and Kane Richardson, Punjab Kings' Riley Meredith and Jhye Richardson and RR's Jofra Archer will also not play.",sports,"Which prominent players will miss the UAE leg of IPL 2021?. KKR pacer Pat Cummins pulled out of UAE leg of IPL 2021 due to personal reasons, while RR wicketkeeper-batsman Jos Buttler won't feature in the tournament as he's expecting his second child with wife Louise. RCB's Daniel Sams, Finn Allen, Adam Zampa and Kane Richardson, Punjab Kings' Riley Meredith and Jhye Richardson and RR's Jofra Archer will also not play.",prominent player miss uae leg ipl kkr pacer pat cummins pull uae leg ipl due personal reason rr wicketkeeper batsman jos buttler wo nt feature tournament expect second child wife louise rcb daniel sams finn allen adam zampa kane richardson punjab king riley meredith jhye richardson rr jofra archer also not play
Why didn't Silverwood intervene: Vaughan on Root's tactics on Day 5 at Lord's,"Former England captain Michael Vaughan has said that England coach Chris Silverwood will have to take his share of responsibility for England's defeat in the Lord's Test against India. ""Why was Silverwood not sending someone out onto the pitch with a drink, asking Root what the hell was going on and getting him to change tactics?"" asked Vaughan. ",sports,"Why didn't Silverwood intervene: Vaughan on Root's tactics on Day 5 at Lord's. Former England captain Michael Vaughan has said that England coach Chris Silverwood will have to take his share of responsibility for England's defeat in the Lord's Test against India. ""Why was Silverwood not sending someone out onto the pitch with a drink, asking Root what the hell was going on and getting him to change tactics?"" asked Vaughan. ",nt silverwood intervene vaughan root tactic day lord former england captain michael vaughan say england coach chris silverwood take share responsibility england defeat lord test india silverwood not send someone onto pitch drink ask root hell go get change tactic ask vaughan
